,Feature,Importance
0,age,77.08769359958114
1,size,70.42339178558231
2,period_grade,2331.614821593674
3,class_male_to_female_ratio,81.51407428355594
4,period_general_high,2.35345196723938
5,period_middle,0.0
6,period_primary,7.774730992568948
7,period_vocational_high,0.0
8,school_in_city,39.39795783162117
9,school_male_to_female_ratio,97.05160285945085
10,s1_q1,9.532847300171852
11,s1_q2,0.8092618389964628
12,s1_q3,0.0
13,s1_q4,0.8533130288124084
14,s1_q5,0.0
15,s1_q6,0.0
16,s1_q7,1.2769500017166138
17,s1_q8,0.0
18,s1_q9,0.0
19,s1_q10,6.476855933666229
20,s1_q11,1.8476000279188156
21,s1_q12,5.154113978147507
22,s1_q13,2.6567089781165123
23,s1_q14,0.7595900781452656
24,s1_q15,1.7713877403584775
25,s1_q16,0.9121630191802979
26,s1_q17,3.5505273007509333
27,s1_q18,2.848099946975708
28,s1_q19,1.244789958000183
29,s1_q20,1.5676850080490112
30,s1_q21,7.266747817015542
31,s1_q22,3.7822540402412415
32,s1_q23,3.63912296295166
33,s1_q24,0.0
34,s1_q25,1.7012100219726562
35,s1_q26,1.490781970322132
36,s1_q27,20.13882331028981
37,s1_q28,0.11400499939918518
38,s1_q29,0.9296065927192103
39,s1_q30,32.2854925096035
40,s1_q31,0.0
41,s1_q32,11.011312365531921
42,s1_q33,1.4071740061044693
43,s1_q34,8.445881977677345
44,s1_q35,8.789483185857534
45,s1_q36,1.8132513323885178
46,s1_q37,0.0
47,s1_q38,2.2860450446605682
48,s1_q39,0.0
49,s1_q40,9.99794932851637
50,s1_q41,37.03822208697147
51,s1_q42,11.038513153791428
52,s1_q43,0.0
53,s1_q44,0.5392189919948578
54,s1_q45,3.4013908626511693
55,s1_q46,1.170313984155655
56,s1_q47,0.0
57,s1_q48,15.448424853908364
58,s1_q49,0.0
59,s1_q50,11.66700904071331
60,s1_q51,6.242830929812044
61,s1_q52,13.76125681400299
62,s1_q53,0.0
63,s1_q54,3.969900980591774
64,s1_q55,0.0
65,s1_q56,0.876392445382308
66,s1_q57,8.485818986271624
67,s1_q58,5.804242178797722
68,s1_q59,0.0
69,s1_q60,1.2131769955158234
70,s1_q61,1.023578180169352
71,s1_q62,24.389011935769553
72,s1_q63,20.326224990263526
73,s1_q64,2.619460065034218e-05
74,s1_q65,9.032419825416582e-07
75,s1_q66,22.75349774629467
76,s1_q67,0.0
77,s1_q68,0.0
78,s1_q69,22.915721048186242
79,s1_q70,0.2615543007850647
80,s1_q71,2.296234890818596
81,s1_q72,7.502201553747
82,s1_q73,25.145409258467026
83,s1_q74,3.0943790674209595
84,s1_q75,6.14693565202834
85,s1_q76,8.09154987335205
86,s1_q77,3.9729430973529816
87,s1_q78,0.6027570068836212
88,s1_q79,2.9812469482421875
89,s1_q80,1.0013925101524421
90,s1_q81,0.00010902548587177208
91,s1_q82,0.0
92,s1_q83,9.626069896739864e-08
93,s1_q84,6.8945200659698e-09
94,s1_q85,0.0002748699120047604
95,s1_q86,4.601829960942268
96,s1_q87,4.625823662272751
97,s1_q88,0.046461399644613266
98,s1_q89,0.8567819893360138
99,s1_q90,3.876741111278534
100,s1_q91,2.341040015220642
101,s1_q92,2.8574073929339647
102,s1_q93,7.4268086940824105
103,s1_q94,0.0
104,s1_q95,0.14158399403095245
105,s1_q96,0.0001257890928627603
106,s1_q97,24.613054886460304
107,s1_q98,0.4599680006504059
108,s1_q99,10.12646985490619
109,s1_q100,1.2508330047130585
110,m1,33.84750013254275
111,m2,13.23424303329557
112,m3,16.464034633666273
113,m4,15.923202702782874
114,m5,8.402691801691617
115,m6,54.20399137607029
116,m7,18.060874214308765
117,m8,6.91603738688454
118,warning,0.0
